ProblemID,ContextId,Qletter,Scenario,Question,A,B,C,D,Hint,Feedback,Answer
1,1,a,"A photographer has one small camera bag, one large camera bag, 3 camera bodies, 5 interchangeable lenses, and 4 types of filters.  Her small bag can hold a single camera and at most 2 lenses and all of the filters, while the large bag can hold all of the photographer’s equipment.",The photographer brings all her equipment in the large bag to an assignment.  How many different configurations can she use to take a single picture?,\({3}\cdot{5}\cdot{(4+1)}\),\({3}\cdot{5}\cdot{4}\),\([{3}\cdot{5}]+[{3}\cdot{5}\cdot{(4+1)}]\),\([{3}\cdot{5}]+[{3}\cdot{5}\cdot{4}]\),[# of ways to pick camera]*[# of ways to pick lens]*[# of ways to make filter decision]. ,"There are 3 ways to choose a camera body, 5 lenses and 4+1 filters. (the “+1” in last term is because you can have a “no filter” option)",A
2,1,b,"A photographer has one small camera bag, one large camera bag, 3 camera bodies, 5 interchangeable lenses, and 4 types of filters.  Her small bag can hold a single camera and at most 2 lenses and all of the filters, while the large bag can hold all of the photographer’s equipment.",The photographer is called to an assignment.  How many different ways can she pack?,\([(2^3-1)\cdot(2^5-1)\cdot{2^4}] + [3\cdot(_{5}C_{1}\cdot_{5}C_{2})\cdot{2^4}]\),\([(2^3)\cdot(2^5)\cdot{2^4}] +[3\\cdot(_{5}C_{1}+_{5}C_{2})\cdot{2^4}]\),\([(2^3-1)\cdot(2^5-1)\cdot{2^4}] + [3\cdot(_{5}C_{1}+_{5}C_{2})\cdot{2^4}]\),\([{3}\cdot{5}\cdot{4}]+[_{3}C_{1}\cdot(_{5}C_{1}+_{5}C_{2})\cdot{4}]\),{# of ways if she takes the large bag} + {# of ways if she takes the small bag} = {(# of ways to pack at least one camera in large bag)*(# of ways to pack at least one lens in large bag)*(# of ways to pack the filters in large bag)}+ {(# of ways to pick camera for small bag)*(# of ways to pack at least one lens in small bag)*(# of ways to pack the filters in small bag)},It is crucial that we add the number of ways she can pack for the assignment using the large bag AND the small bag,C
3,1,c,"A photographer has one small camera bag, one large camera bag, 3 camera bodies, 5 interchangeable lenses, and 4 types of filters.  Her small bag can hold a single camera and at most 2 lenses and all of the filters, while the large bag can hold all of the photographer’s equipment.",The photographer fills her small bag to an assignment.  How many different configurations can she use in taking a single picture?,\({3}\cdot{5}\cdot{(4+1)}\),\({3}\cdot{5}\cdot{4}\),\({1}\cdot{2}\cdot{(4+1)}\),\({1}\cdot{(_{5}C_{1}+_{5}C_{2})}\cdot{(4+1)}\),[# of ways to pick camera]*[# of ways to pick lens]*[# of ways to make filter decision] ,All choices are open for packing the bag,A
4,2,a,"A dinner special at a small special restaurant includes a main dish, two sides (one of which can be substituted by a salad) and a dessert.  Their menu includes 5 main dishes, 3 side dishes, and 3 desserts.  There are 3 types of salads on which there is a choice of 4 types of salad dressing.  ",How many possible dinner specials are there?,\({5}\cdot{3}\cdot{3}\cdot{4}\cdot{3}\),\(5\cdot[_{3}C_{2}+3\cdot(3\cdot{4})]\cdot{3}\),\({5}\cdot{15}\cdot{3}\),\(5\cdot[_{3}C_{2}\cdot{3}\cdot(3\cdot{4})]\cdot{3}\),[# ways to pick main dish]*[# ways to pick sides/salads]*[# ways to pick desserts],"Using the multiplication principle, we must multiply the number of ways to get each course. Don't forget, for the two sides, you can either choose one or two of the three side dishes OR one or two of the salad combinations. So for this term, you must add those possible choices for ways to pick two side dishes. ",B
5,2,b,"A dinner special at a small special restaurant includes a main dish, two sides (one of which can be substituted by a salad) and a dessert.  Their menu includes 5 main dishes, 3 side dishes, and 3 desserts.  There are 3 types of salads on which there is a choice of 4 types of salad dressing.  ",A party of 5 people each order one of the dinner specials. How many possible orders can this group make?,\(({5}\cdot{3}\cdot{3}\cdot{4}\cdot{3})^5\),\(({5}\cdot{3}\cdot{3}\cdot{4}\cdot{3})\cdot{5}\),\((5\cdot[_{3}C_{2}+3\cdot(3\cdot{4})]\cdot{3})\cdot{5}\),\((5\cdot[_{3}C_{2}+3\cdot(3\cdot{4})]\cdot{3})^5\),Each person has this number of choices: [# ways to pick main dish]*[# ways to pick sides/salads]*[# ways to pick desserts],,D
6,2,c,"A dinner special at a small special restaurant includes a main dish, two sides (one of which can be substituted by a salad) and a dessert.  Their menu includes 5 main dishes, 3 side dishes, and 3 desserts.  There are 3 types of salads on which there is a choice of 4 types of salad dressing.  ","A party of 5 people each order one of the dinner specials, though none order the same thing. How many possible orders can this group make? ",\(\dfrac{({5}\cdot{3}\cdot{3}\cdot{4}\cdot{3})!}{(({5}\cdot{3}\cdot{3}\cdot{4}\cdot{3})-5)!}\),\(\dfrac{(5\cdot[_{3}C_{2}+3\cdot(3\cdot{4})]\cdot{3})!}{([5\cdot[_{3}C_{2}+3\cdot(3\cdot{4})]\cdot{3}] - 5)!}\),\(\dfrac{({5}\cdot{3}\cdot{3}\cdot{4}\cdot{3})!}{{5!}(({5}\cdot{3}\cdot{3}\cdot{4}\cdot{3})-5)!}\),\(\dfrac{(5\cdot[_{3}C_{2}+3\cdot(3\cdot{4})]\cdot{3})!}{([5\cdot[_{3}C_{2}+3\cdot(3\cdot{4})]\cdot{3}]\cdot{5})!}\),The first person has all of the choices available then second person has all of the remaining choices etc… ,,B
7,2,d,"A dinner special at a small special restaurant includes a main dish, two sides (one of which can be substituted by a salad) and a dessert.  Their menu includes 5 main dishes, 3 side dishes, and 3 desserts.  There are 3 types of salads on which there is a choice of 4 types of salad dressing.  ","A party of 5 people each order one of the dinner specials, though none order the same thing. How many possible sets of dinner specials can the waiter bring to their table? ",\(\dfrac{(5\cdot{3}\cdot{3}\cdot{4}\cdot{3})!}{5![(5\cdot{3}\cdot{3}\cdot{4}\cdot{3})-5]!}\),\(\dfrac{(5\cdot[_{3}C_{2}+3\cdot(3\cdot{4})]\cdot{3})!}{5!(5\cdot[_{3}C_{2}+3\cdot(3\cdot{4})]\cdot{3})-5)!}\),\(\dfrac{5\cdot[_{3}C_{2}+3(3\cdot{4}]\cdot{3})!}{(5\cdot[_{3}C_{2}+3\cdot(3\cdot{4})\cdot{3})-5)!}\),\(\dfrac{(5\cdot{3}\cdot{3}\cdot{4}\cdot{3})!}{[(5\cdot{3}\cdot{3}\cdot{4}\cdot{3})-5]!}\),Who ordered which dish doesn’t matter,,B
8,2,e,"A dinner special at a small special restaurant includes a main dish, two sides (one of which can be substituted by a salad) and a dessert.  Their menu includes 5 main dishes, 3 side dishes, and 3 desserts.  There are 3 types of salads on which there is a choice of 4 types of salad dressing.  ","A party of 5 people each order one of the dinner specials. The 5 main dishes include 2 meat dishes, 2 fish dishes, and 1vegetarian option (s).  Let M be the event that at least one meat dish is ordered, F is the event that at least one fish dish is ordered, and V be the event that at least one vegetarian option is ordered. How many possible orders are in the event MFVc",\(2^5\),\(2\cdot{2}\cdot{1}\),\(_{5}C_{1}\cdot{5}\),\(2^5+2^5+1^5\),The event regards only the main dish and says the five have no meat and at least one fish meals and no vegetarian meals out of the 5 which is the same as saying they all have Fish dishes for which each person has 2 choices,,A
9,3,a,"An electronics store carries 4 brands of televisions with each brand coming in 3 screen sizes sold at the store.  The store also offers the customer a choice of possible extended warranty options (no warranty, one year, two year, or three years).",,\(_{4+3+4}C_{1}\),\((4^3)^4\),\({4}\cdot{3}\cdot{4}\),\(\dfrac{(4\cdot{3}\cdot{4})!}{4!3!4!}\),[# of television brands]*[# of screen sizes]*[# of warranty choices] ,,C
10,3,b,"An electronics store carries 4 brands of televisions with each brand coming in 3 screen sizes sold at the store.  The store also offers the customer a choice of possible extended warranty options (no warranty, one year, two year, or three years).",,\(4(2+_{6}C_{1})\),\(4(2+_{4}C_{1})\),\([_{12}C_{3}+_{12}C_{2}\cdot2]\cdot{4^3}\),\((2+_{4}C_{1})\cdot{4^3}\),[# of ways to pick camera]*[# of ways to pick lens]*[# of ways to make filter decision] ,,C
